"#","Name","Type 1","Type 2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation","Legendary","hue","url"
"188","Skiploom","Grass","Flying","340","55","45","50","45","65","80","2","False","86"," https://img.pokemondb.net/sprites/bank/normal/skiploom.png"
"189","Jumpluff","Grass","Flying","460","75","55","70","55","95","110","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/jumpluff.png"
"190","Aipom","Normal","N/A","360","55","70","55","40","55","85","2","False","300"," https://img.pokemondb.net/sprites/bank/normal/aipom.png"
"191","Sunkern","Grass","N/A","180","30","30","30","30","30","30","2","False","54"," https://img.pokemondb.net/sprites/bank/normal/sunkern.png"
"192","Sunflora","Grass","N/A","425","75","75","55","105","85","30","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/sunflora.png"
"193","Yanma","Bug","Flying","390","65","65","45","75","45","95","2","False","240"," https://img.pokemondb.net/sprites/bank/normal/yanma.png"
"194","Wooper","Water","Ground","210","55","45","45","25","25","15","2","False","210"," https://img.pokemondb.net/sprites/bank/normal/wooper.png"
"195","Quagsire","Water","Ground","430","95","85","85","65","65","35","2","False","195"," https://img.pokemondb.net/sprites/bank/normal/quagsire.png"
"196","Espeon","Psychic","N/A","525","65","65","60","130","95","110","2","False","300"," https://img.pokemondb.net/sprites/bank/normal/espeon.png"
"197","Umbreon","Dark","N/A","525","95","65","110","60","130","65","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/umbreon.png"
"198","Murkrow","Dark","Flying","405","60","85","42","85","42","91","2","False","220"," https://img.pokemondb.net/sprites/bank/normal/murkrow.png"
"199","Slowking","Water","Psychic","490","95","75","80","100","110","30","2","False","345"," https://img.pokemondb.net/sprites/bank/normal/slowking.png"
"200","Misdreavus","Ghost","N/A","435","60","60","60","85","85","85","2","False","195"," https://img.pokemondb.net/sprites/bank/normal/misdreavus.png"
"201","Unown","Psychic","N/A","336","48","72","48","72","48","48","2","False","210"," https://img.pokemondb.net/sprites/bank/normal/unown.png"
"202","Wobbuffet","Psychic","N/A","405","190","33","58","33","58","33","2","False","197"," https://img.pokemondb.net/sprites/bank/normal/wobbuffet.png"
"203","Girafarig","Normal","Psychic","455","70","80","65","90","65","85","2","False","41"," https://img.pokemondb.net/sprites/bank/normal/girafarig.png"
"204","Pineco","Bug","N/A","290","50","65","90","35","35","15","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/pineco.png"
"205","Forretress","Bug","Steel","465","75","90","140","60","60","40","2","False","330"," https://img.pokemondb.net/sprites/bank/normal/forretress.png"
"206","Dunsparce","Normal","N/A","415","100","70","70","65","65","45","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/dunsparce.png"
"207","Gligar","Ground","Flying","430","65","75","105","35","65","85","2","False","324"," https://img.pokemondb.net/sprites/bank/normal/gligar.png"
"208","Steelix","Steel","Ground","510","75","85","200","55","65","30","2","False","240"," https://img.pokemondb.net/sprites/bank/normal/steelix.png"
"208","SteelixMega Steelix","Steel","Ground","610","75","125","230","55","95","30","2","False","240"," https://img.pokemondb.net/sprites/bank/normal/steelix.png"
"209","Snubbull","Fairy","N/A","300","60","80","50","40","40","30","2","False","350"," https://img.pokemondb.net/sprites/bank/normal/snubbull.png"
"210","Granbull","Fairy","N/A","450","90","120","75","60","60","45","2","False","300"," https://img.pokemondb.net/sprites/bank/normal/granbull.png"
"211","Qwilfish","Water","Poison","430","65","95","75","55","55","85","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/qwilfish.png"
"212","Scizor","Bug","Steel","500","70","130","100","55","80","65","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/scizor.png"
"212","ScizorMega Scizor","Bug","Steel","600","70","150","140","65","100","75","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/scizor.png"
"213","Shuckle","Bug","Rock","505","20","10","230","10","230","5","2","False","49"," https://img.pokemondb.net/sprites/bank/normal/shuckle.png"
"214","Heracross","Bug","Fighting","500","80","125","75","40","95","85","2","False","210"," https://img.pokemondb.net/sprites/bank/normal/heracross.png"
"214","HeracrossMega Heracross","Bug","Fighting","600","80","185","115","40","105","75","2","False","210"," https://img.pokemondb.net/sprites/bank/normal/heracross.png"
"215","Sneasel","Dark","Ice","430","55","95","55","35","75","115","2","False","204"," https://img.pokemondb.net/sprites/bank/normal/sneasel.png"
"216","Teddiursa","Normal","N/A","330","60","80","50","50","50","40","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/teddiursa.png"
"217","Ursaring","Normal","N/A","500","90","130","75","75","75","55","2","False","24"," https://img.pokemondb.net/sprites/bank/normal/ursaring.png"
"218","Slugma","Fire","N/A","250","40","40","40","70","40","20","2","False","20"," https://img.pokemondb.net/sprites/bank/normal/slugma.png"
"219","Magcargo","Fire","Rock","410","50","50","120","80","80","30","2","False","13"," https://img.pokemondb.net/sprites/bank/normal/magcargo.png"
"220","Swinub","Ice","Ground","250","50","50","40","30","30","50","2","False","24"," https://img.pokemondb.net/sprites/bank/normal/swinub.png"
"221","Piloswine","Ice","Ground","450","100","100","80","60","60","50","2","False","24"," https://img.pokemondb.net/sprites/bank/normal/piloswine.png"
"222","Corsola","Water","Rock","380","55","55","85","65","85","35","2","False","350"," https://img.pokemondb.net/sprites/bank/normal/corsola.png"
"223","Remoraid","Water","N/A","300","35","65","35","65","35","65","2","False","120"," https://img.pokemondb.net/sprites/bank/normal/remoraid.png"
"224","Octillery","Water","N/A","480","75","105","75","105","75","45","2","False","6"," https://img.pokemondb.net/sprites/bank/normal/octillery.png"
"225","Delibird","Ice","Flying","330","45","55","45","65","45","75","2","False","6"," https://img.pokemondb.net/sprites/bank/normal/delibird.png"
"226","Mantine","Water","Flying","465","65","40","70","80","140","70","2","False","300"," https://img.pokemondb.net/sprites/bank/normal/mantine.png"
"227","Skarmory","Steel","Flying","465","65","80","140","40","70","70","2","False","240"," https://img.pokemondb.net/sprites/bank/normal/skarmory.png"
"228","Houndour","Dark","Fire","330","45","60","30","80","50","65","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/houndour.png"
"229","Houndoom","Dark","Fire","500","75","90","50","110","80","95","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/houndoom.png"
"229","HoundoomMega Houndoom","Dark","Fire","600","75","90","90","140","90","115","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/houndoom.png"
"230","Kingdra","Water","Dragon","540","75","95","95","95","95","85","2","False","202"," https://img.pokemondb.net/sprites/bank/normal/kingdra.png"
"231","Phanpy","Ground","N/A","330","90","60","60","40","40","40","2","False","180"," https://img.pokemondb.net/sprites/bank/normal/phanpy.png"
"232","Donphan","Ground","N/A","500","90","120","120","60","60","50","2","False","210"," https://img.pokemondb.net/sprites/bank/normal/donphan.png"
"233","Porygon2","Normal","N/A","515","85","80","90","105","95","60","2","False","352"," https://img.pokemondb.net/sprites/bank/normal/porygon2.png"
"234","Stantler","Normal","N/A","465","73","95","62","85","65","85","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/stantler.png"
"235","Smeargle","Normal","N/A","250","55","20","35","20","45","75","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/smeargle.png"
"236","Tyrogue","Fighting","N/A","210","35","35","35","35","35","35","2","False","300"," https://img.pokemondb.net/sprites/bank/normal/tyrogue.png"
"237","Hitmontop","Fighting","N/A","455","50","95","95","35","110","70","2","False","30"," https://img.pokemondb.net/sprites/bank/normal/hitmontop.png"
"238","Smoochum","Ice","Psychic","305","45","30","15","85","65","65","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/smoochum.png"
"239","Elekid","Electric","N/A","360","45","63","37","65","55","95","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/elekid.png"
"240","Magby","Fire","N/A","365","45","75","37","70","55","83","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/magby.png"
"241","Miltank","Normal","N/A","490","95","80","105","40","70","100","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/miltank.png"
"242","Blissey","Normal","N/A","540","255","10","10","75","135","55","2","False","330"," https://img.pokemondb.net/sprites/bank/normal/blissey.png"
"243","Raikou","Electric","N/A","580","90","85","75","115","100","115","2","True","60"," https://img.pokemondb.net/sprites/bank/normal/raikou.png"
"244","Entei","Fire","N/A","580","115","115","85","90","75","100","2","True","22"," https://img.pokemondb.net/sprites/bank/normal/entei.png"
"245","Suicune","Water","N/A","580","100","75","115","90","115","85","2","True","180"," https://img.pokemondb.net/sprites/bank/normal/suicune.png"
"246","Larvitar","Rock","Ground","300","50","64","50","45","50","41","2","False","75"," https://img.pokemondb.net/sprites/bank/normal/larvitar.png"
"247","Pupitar","Rock","Ground","410","70","84","70","65","70","51","2","False","240"," https://img.pokemondb.net/sprites/bank/normal/pupitar.png"
"248","Tyranitar","Rock","Dark","600","100","134","110","95","100","61","2","False","75"," https://img.pokemondb.net/sprites/bank/normal/tyranitar.png"
"248","TyranitarMega Tyranitar","Rock","Dark","700","100","164","150","95","120","71","2","False","75"," https://img.pokemondb.net/sprites/bank/normal/tyranitar.png"
"249","Lugia","Psychic","Flying","680","106","90","130","90","154","110","2","True","240"," https://img.pokemondb.net/sprites/bank/normal/lugia.png"
"250","Ho-oh","Fire","Flying","680","106","130","90","110","154","90","2","True","10"," https://img.pokemondb.net/sprites/bank/normal/ho-oh.png"
"251","Celebi","Psychic","Grass","600","100","100","100","100","100","100","2","False","60"," https://img.pokemondb.net/sprites/bank/normal/celebi.png"
"252","Treecko","Grass","N/A","310","40","45","35","65","55","70","3","False","70"," https://img.pokemondb.net/sprites/bank/normal/treecko.png"
"253","Grovyle","Grass","N/A","405","50","65","45","85","65","95","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/grovyle.png"
"254","Sceptile","Grass","N/A","530","70","85","65","105","85","120","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/sceptile.png"
"254","SceptileMega Sceptile","Grass","Dragon","630","70","110","75","145","85","145","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/sceptile.png"
"255","Torchic","Fire","N/A","310","45","60","40","70","50","45","3","False","32"," https://img.pokemondb.net/sprites/bank/normal/torchic.png"
"256","Combusken","Fire","Fighting","405","60","85","60","85","60","55","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/combusken.png"
"257","Blaziken","Fire","Fighting","530","80","120","70","110","70","80","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/blaziken.png"
"257","BlazikenMega Blaziken","Fire","Fighting","630","80","160","80","130","80","100","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/blaziken.png"
"258","Mudkip","Water","N/A","310","50","70","50","50","50","40","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/mudkip.png"
"259","Marshtomp","Water","Ground","405","70","85","70","60","70","50","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/marshtomp.png"
"260","Swampert","Water","Ground","535","100","110","90","85","90","60","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/swampert.png"
"260","SwampertMega Swampert","Water","Ground","635","100","150","110","95","110","70","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/swampert.png"
"261","Poochyena","Dark","N/A","220","35","55","35","30","30","35","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/poochyena.png"
"262","Mightyena","Dark","N/A","420","70","90","70","60","60","70","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/mightyena.png"
"263","Zigzagoon","Normal","N/A","240","38","30","41","30","41","60","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/zigzagoon.png"
"264","Linoone","Normal","N/A","420","78","70","61","50","61","100","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/linoone.png"
"265","Wurmple","Bug","N/A","195","45","45","35","20","30","20","3","False","352"," https://img.pokemondb.net/sprites/bank/normal/wurmple.png"
"266","Silcoon","Bug","N/A","205","50","35","55","25","25","15","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/silcoon.png"
"267","Beautifly","Bug","Flying","395","60","70","50","100","50","65","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/beautifly.png"
"268","Cascoon","Bug","N/A","205","50","35","55","25","25","15","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/cascoon.png"
"269","Dustox","Bug","Poison","385","60","50","70","50","90","65","3","False","79"," https://img.pokemondb.net/sprites/bank/normal/dustox.png"
"270","Lotad","Water","Grass","220","40","30","30","40","50","30","3","False","90"," https://img.pokemondb.net/sprites/bank/normal/lotad.png"
"271","Lombre","Water","Grass","340","60","50","50","60","70","50","3","False","85"," https://img.pokemondb.net/sprites/bank/normal/lombre.png"
"272","Ludicolo","Water","Grass","480","80","70","70","90","100","70","3","False","96"," https://img.pokemondb.net/sprites/bank/normal/ludicolo.png"
"273","Seedot","Grass","N/A","220","40","40","50","30","30","30","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/seedot.png"
"274","Nuzleaf","Grass","Dark","340","70","70","40","60","40","60","3","False","20"," https://img.pokemondb.net/sprites/bank/normal/nuzleaf.png"
"275","Shiftry","Grass","Dark","480","90","100","60","90","60","80","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/shiftry.png"
"276","Taillow","Normal","Flying","270","40","55","30","30","30","85","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/taillow.png"
"277","Swellow","Normal","Flying","430","60","85","60","50","50","125","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/swellow.png"
"278","Wingull","Water","Flying","270","40","30","30","55","30","85","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/wingull.png"
"279","Pelipper","Water","Flying","430","60","50","100","85","70","65","3","False","50"," https://img.pokemondb.net/sprites/bank/normal/pelipper.png"
"280","Ralts","Psychic","Fairy","198","28","25","25","45","35","40","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/ralts.png"
"281","Kirlia","Psychic","Fairy","278","38","35","35","65","55","50","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/kirlia.png"
"282","Gardevoir","Psychic","Fairy","518","68","65","65","125","115","80","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/gardevoir.png"
"282","GardevoirMega Gardevoir","Psychic","Fairy","618","68","85","65","165","135","100","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/gardevoir.png"
"283","Surskit","Bug","Water","269","40","30","32","50","52","65","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/surskit.png"
"284","Masquerain","Bug","Flying","414","70","60","62","80","82","60","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/masquerain.png"
"285","Shroomish","Grass","N/A","295","60","40","60","40","60","35","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/shroomish.png"
"286","Breloom","Grass","Fighting","460","60","130","80","60","60","70","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/breloom.png"
"287","Slakoth","Normal","N/A","280","60","60","60","35","35","30","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/slakoth.png"
"288","Vigoroth","Normal","N/A","440","80","80","80","55","55","90","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/vigoroth.png"
"289","Slaking","Normal","N/A","670","150","160","100","95","65","100","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/slaking.png"
"290","Nincada","Bug","Ground","266","31","45","90","30","30","40","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/nincada.png"
"291","Ninjask","Bug","Flying","456","61","90","45","50","50","160","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/ninjask.png"
"292","Shedinja","Bug","Ghost","236","1","90","45","30","30","40","3","False","40"," https://img.pokemondb.net/sprites/bank/normal/shedinja.png"
"293","Whismur","Normal","N/A","240","64","51","23","51","23","28","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/whismur.png"
"294","Loudred","Normal","N/A","360","84","71","43","71","43","48","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/loudred.png"
"295","Exploud","Normal","N/A","490","104","91","63","91","73","68","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/exploud.png"
"296","Makuhita","Fighting","N/A","237","72","60","30","20","30","25","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/makuhita.png"
"297","Hariyama","Fighting","N/A","474","144","120","60","40","60","50","3","False","45"," https://img.pokemondb.net/sprites/bank/normal/hariyama.png"
"298","Azurill","Normal","Fairy","190","50","20","40","20","40","20","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/azurill.png"
"299","Nosepass","Rock","N/A","375","30","45","135","45","90","30","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/nosepass.png"
"300","Skitty","Normal","N/A","260","50","45","45","35","35","50","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/skitty.png"
"301","Delcatty","Normal","N/A","380","70","65","65","55","55","70","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/delcatty.png"
"302","Sableye","Dark","Ghost","380","50","75","75","65","65","50","3","False","270"," https://img.pokemondb.net/sprites/bank/normal/sableye.png"
"302","SableyeMega Sableye","Dark","Ghost","480","50","85","125","85","115","20","3","False","270"," https://img.pokemondb.net/sprites/bank/normal/sableye.png"
"303","Mawile","Steel","Fairy","380","50","85","85","55","55","50","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/mawile.png"
"303","MawileMega Mawile","Steel","Fairy","480","50","105","125","55","95","50","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/mawile.png"
"304","Aron","Steel","Rock","330","50","70","100","40","40","30","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/aron.png"
"305","Lairon","Steel","Rock","430","60","90","140","50","50","40","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/lairon.png"
"306","Aggron","Steel","Rock","530","70","110","180","60","60","50","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/aggron.png"
"306","AggronMega Aggron","Steel","N/A","630","70","140","230","60","80","50","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/aggron.png"
"307","Meditite","Fighting","Psychic","280","30","40","55","40","55","60","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/meditite.png"
"308","Medicham","Fighting","Psychic","410","60","60","75","60","75","80","3","False","342"," https://img.pokemondb.net/sprites/bank/normal/medicham.png"
"308","MedichamMega Medicham","Fighting","Psychic","510","60","100","85","80","85","100","3","False","342"," https://img.pokemondb.net/sprites/bank/normal/medicham.png"
"309","Electrike","Electric","N/A","295","40","45","40","65","40","65","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/electrike.png"
"310","Manectric","Electric","N/A","475","70","75","60","105","60","105","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/manectric.png"
"310","ManectricMega Manectric","Electric","N/A","575","70","75","80","135","80","135","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/manectric.png"
"311","Plusle","Electric","N/A","405","60","50","40","85","75","95","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/plusle.png"
"312","Minun","Electric","N/A","405","60","40","50","75","85","95","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/minun.png"
"313","Volbeat","Bug","N/A","400","65","73","55","47","75","85","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/volbeat.png"
"314","Illumise","Bug","N/A","400","65","47","55","73","75","85","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/illumise.png"
"315","Roselia","Grass","Poison","400","50","60","45","100","80","65","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/roselia.png"
"316","Gulpin","Poison","N/A","302","70","43","53","43","53","40","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/gulpin.png"
"317","Swalot","Poison","N/A","467","100","73","83","73","83","55","3","False","260"," https://img.pokemondb.net/sprites/bank/normal/swalot.png"
"318","Carvanha","Water","Dark","305","45","90","20","65","20","65","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/carvanha.png"
"319","Sharpedo","Water","Dark","460","70","120","40","95","40","95","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/sharpedo.png"
"319","SharpedoMega Sharpedo","Water","Dark","560","70","140","70","110","65","105","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/sharpedo.png"
"320","Wailmer","Water","N/A","400","130","70","35","70","35","60","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/wailmer.png"
"321","Wailord","Water","N/A","500","170","90","45","90","45","60","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/wailord.png"
"322","Numel","Fire","Ground","305","60","60","40","65","45","35","3","False","40"," https://img.pokemondb.net/sprites/bank/normal/numel.png"
"323","Camerupt","Fire","Ground","460","70","100","70","105","75","40","3","False","15"," https://img.pokemondb.net/sprites/bank/normal/camerupt.png"
"323","CameruptMega Camerupt","Fire","Ground","560","70","120","100","145","105","20","3","False","15"," https://img.pokemondb.net/sprites/bank/normal/camerupt.png"
"324","Torkoal","Fire","N/A","470","70","85","140","85","70","20","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/torkoal.png"
"325","Spoink","Psychic","N/A","330","60","25","35","70","80","60","3","False","345"," https://img.pokemondb.net/sprites/bank/normal/spoink.png"
"326","Grumpig","Psychic","N/A","470","80","45","65","90","110","80","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/grumpig.png"
"327","Spinda","Normal","N/A","360","60","60","60","60","60","60","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/spinda.png"
"328","Trapinch","Ground","N/A","290","45","100","45","45","45","10","3","False","17"," https://img.pokemondb.net/sprites/bank/normal/trapinch.png"
"329","Vibrava","Ground","Dragon","340","50","70","50","50","50","70","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/vibrava.png"
"330","Flygon","Ground","Dragon","520","80","100","80","80","80","100","3","False","90"," https://img.pokemondb.net/sprites/bank/normal/flygon.png"
"331","Cacnea","Grass","N/A","335","50","85","40","85","40","35","3","False","90"," https://img.pokemondb.net/sprites/bank/normal/cacnea.png"
"332","Cacturne","Grass","Dark","475","70","115","60","115","60","55","3","False","79"," https://img.pokemondb.net/sprites/bank/normal/cacturne.png"
"333","Swablu","Normal","Flying","310","45","40","60","40","75","50","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/swablu.png"
"334","Altaria","Dragon","Flying","490","75","70","90","70","105","80","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/altaria.png"
"334","AltariaMega Altaria","Dragon","Fairy","590","75","110","110","110","105","80","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/altaria.png"
"335","Zangoose","Normal","N/A","458","73","115","60","60","60","90","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/zangoose.png"
"336","Seviper","Poison","N/A","458","73","100","60","100","60","65","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/seviper.png"
"337","Lunatone","Rock","Psychic","440","70","55","65","95","85","70","3","False","45"," https://img.pokemondb.net/sprites/bank/normal/lunatone.png"
"338","Solrock","Rock","Psychic","440","70","95","85","55","65","70","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/solrock.png"
"339","Barboach","Water","Ground","288","50","48","43","46","41","60","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/barboach.png"
"340","Whiscash","Water","Ground","468","110","78","73","76","71","60","3","False","225"," https://img.pokemondb.net/sprites/bank/normal/whiscash.png"
"341","Corphish","Water","N/A","308","43","80","65","50","35","35","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/corphish.png"
"342","Crawdaunt","Water","Dark","468","63","120","85","90","55","55","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/crawdaunt.png"
"343","Baltoy","Ground","Psychic","300","40","40","55","40","70","55","3","False","45"," https://img.pokemondb.net/sprites/bank/normal/baltoy.png"
"344","Claydol","Ground","Psychic","500","60","70","105","70","120","75","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/claydol.png"
"345","Lileep","Rock","Grass","355","66","41","77","61","87","23","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/lileep.png"
"346","Cradily","Rock","Grass","495","86","81","97","81","107","43","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/cradily.png"
"347","Anorith","Rock","Bug","355","45","95","50","40","50","75","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/anorith.png"
"348","Armaldo","Rock","Bug","495","75","125","100","70","80","45","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/armaldo.png"
"349","Feebas","Water","N/A","200","20","15","20","10","55","80","3","False","45"," https://img.pokemondb.net/sprites/bank/normal/feebas.png"
"350","Milotic","Water","N/A","540","95","60","79","100","125","81","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/milotic.png"
"351","Castform","Normal","N/A","420","70","70","70","70","70","70","3","False","300"," https://img.pokemondb.net/sprites/bank/normal/castform.png"
"352","Kecleon","Normal","N/A","440","60","90","70","60","120","40","3","False","75"," https://img.pokemondb.net/sprites/bank/normal/kecleon.png"
"353","Shuppet","Ghost","N/A","295","44","75","35","63","33","45","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/shuppet.png"
"354","Banette","Ghost","N/A","455","64","115","65","83","63","65","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/banette.png"
"354","BanetteMega Banette","Ghost","N/A","555","64","165","75","93","83","75","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/banette.png"
"355","Duskull","Ghost","N/A","295","20","40","90","30","90","25","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/duskull.png"
"356","Dusclops","Ghost","N/A","455","40","70","130","60","130","25","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/dusclops.png"
"357","Tropius","Grass","Flying","460","99","68","83","72","87","51","3","False","132"," https://img.pokemondb.net/sprites/bank/normal/tropius.png"
"358","Chimecho","Psychic","N/A","425","65","50","70","95","80","65","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/chimecho.png"
"359","Absol","Dark","N/A","465","65","130","60","75","60","75","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/absol.png"
"359","AbsolMega Absol","Dark","N/A","565","65","150","60","115","60","115","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/absol.png"
"360","Wynaut","Psychic","N/A","260","95","23","48","23","48","23","3","False","180"," https://img.pokemondb.net/sprites/bank/normal/wynaut.png"
"361","Snorunt","Ice","N/A","300","50","50","50","50","50","50","3","False","50"," https://img.pokemondb.net/sprites/bank/normal/snorunt.png"
"362","Glalie","Ice","N/A","480","80","80","80","80","80","80","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/glalie.png"
"362","GlalieMega Glalie","Ice","N/A","580","80","120","80","120","80","100","3","False","240"," https://img.pokemondb.net/sprites/bank/normal/glalie.png"
"363","Spheal","Ice","Water","290","70","40","50","55","50","25","3","False","60"," https://img.pokemondb.net/sprites/bank/normal/spheal.png"
"364","Sealeo","Ice","Water","410","90","60","70","75","70","45","3","False","200"," https://img.pokemondb.net/sprites/bank/normal/sealeo.png"
"365","Walrein","Ice","Water","530","110","80","90","95","90","65","3","False","197"," https://img.pokemondb.net/sprites/bank/normal/walrein.png"
"366","Clamperl","Water","N/A","345","35","64","85","74","55","32","3","False","210"," https://img.pokemondb.net/sprites/bank/normal/clamperl.png"
"367","Huntail","Water","N/A","485","55","104","105","94","75","52","3","False","25"," https://img.pokemondb.net/sprites/bank/normal/huntail.png"
"368","Gorebyss","Water","N/A","485","55","84","105","114","75","52","3","False","330"," https://img.pokemondb.net/sprites/bank/normal/gorebyss.png"
"369","Relicanth","Water","Rock","485","100","90","130","45","65","55","3","False","30"," https://img.pokemondb.net/sprites/bank/normal/relicanth.png"
"370","Luvdisc","Water","N/A","330","43","30","55","40","65","97","3","False","15"," https://img.pokemondb.net/sprites/bank/normal/luvdisc.png"
"371","Bagon","Dragon","N/A","300","45","75","60","40","30","50","3","False","204"," https://img.pokemondb.net/sprites/bank/normal/bagon.png"
"372","Shelgon","Dragon","N/A","420","65","95","100","60","50","50","3","False","120"," https://img.pokemondb.net/sprites/bank/normal/shelgon.png"
